POId,Site Name,SiteId,MR-Volume(KWh),D-REC Volume(KWh),%Tokenized
84515,St. Marys Hospital,e0c87a13-a195-49e1-a1e1-7618ee397ede,401560.6216,804028.24,2.002258679639418
73368,Ghana Nuts,86a95fc5-6faa-4648-8e8c-14769df5a3d9,1829673.494908559,1256137.74,0.6865365561098525
17900,Ghana Nuts,86a95fc5-6faa-4648-8e8c-14769df5a3d9,1178903.7406,4045742.88,3.431783902849379
84515,Holy Family Hospital,f27bd091-349c-4368-b010-6cfdf48ec744,361849.3808000002,493514.4,1.3638669186303598
00000,Garhwal Himalayas-2,bb50f993-2d7e-445b-a60d-3be40ae59b82,9620.000699999999,8138,0.8459458843906322
84515,St. Josephs Hospital,0b8b3cc3-588c-42c6-80f8-317bb8353a1b,32545.539999999994,23539.28,0.7232720673861919
03733,Belel,55a1e51a-2127-4d85-802d-8b3c314dfaeb,492860.3405078962,306030.1,0.6209266091173693
00000,Dungarwant,044437d3-5e3b-48f9-8de7-6cabfe338ebb,7273.9696,4695,0.6454522438477059
00000,Gangad - 2,7085f095-c867-445e-a3b9-bda3aec4f1a0,10068.00406803,8573.003,0.8515096877267624
00000,Jalgoan phata,2d04a4b3-d123-4dde-81f4-4af6a7340eef,5347.226302449223,4540.226,0.8490805780784726
00000,Gangard,abca5825-1096-4bfc-ae25-33e7d131e4f1,7251.0006928309995,4348.001,0.5996415093848813
00000,Jakhan,bf18f308-bf21-4fb7-8fa8-a3fa8a03166c,10646.161957258066,9075.159,0.8524348057482792
03733,Ogheye,03490de0-6535-4e66-a7b4-419e96da4b2e,173998.57564212653,138634.15,0.7967545107101182
00000,Vasantham school- Mogappair,2cbba6f2-57c2-46dd-a9ec-347ebb8278c9,22892.38734145759,17201.117,0.7513902653939972
00000,Naygaon,40195257-8486-42c1-9b7d-0e90b50e339a,8107.000193548388,8256,1.018379154174708
88079,Hashpura,2f6715d2-633f-4a06-836e-26b515d9c532,81084,81084,1
00000,Boriya,4b21bde7-7111-444c-9ae1-b2bfb739c478,5221.000500000001,4406,0.8438995552672326
00000,Agalur,dc4243db-8021-4491-87d8-187f3beacdc5,4724.774638709678,3493.322,0.7393626716879804
