Id,Developer,SiteName,COD,Latitude,Longitude,Country,Capacity,SiteId_x,POId,SiteId_y,ym_list,energy_list,num_readings
ce847bd3-4fa4-456c-b1bc-f1c25d3ce0e0,africa growth factory,Alliance ,"Jul 31, 2024, 12:00:00 AM",4.8786795,-1.769695,Ghana,148.77,ce847bd3-4fa4-456c-b1bc-f1c25d3ce0e0,71402a,ce847bd3-4fa4-456c-b1bc-f1c25d3ce0e0,"['2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03']","[10585000.0, 16262740.0, 17110010.0, 17138660.0, 18197060.0, 11722990.0, 5694120.0, 14384410.0]",8
7c3ea67c-5d1f-4fd2-8507-e53551fafdce,africa growth factory,Automation Hub,"Feb 18, 2023, 12:00:00 AM",5.62906504,-0.088836846,Ghana,202.06,7c3ea67c-5d1f-4fd2-8507-e53551fafdce,71402b,7c3ea67c-5d1f-4fd2-8507-e53551fafdce,"['2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']","[21409000.0, 20568000.0, 17998000.0, 21999000.0, 20961000.0, 20492000.0, 21430000.0, 23307000.0, 23777000.0, 22370000.0, 21901000.0, 25657000.0, 25829000.0, 23566000.0, 21345000.0, 19768000.0]",16
476a56b5-be4e-4850-bf1c-06fdaacacf3a,africa growth factory,"DMS, East Legon","Apr 20, 2023, 12:00:00 AM",5.665859927,-0.122682457,Ghana,42.12,476a56b5-be4e-4850-bf1c-06fdaacacf3a,71402b,476a56b5-be4e-4850-bf1c-06fdaacacf3a,"['2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']","[6922000.0, 5389000.0, 7208000.0, 5762000.0, 5368000.0, 5269000.0, 4962000.0, 5164000.0, 4212000.0, 5122000.0, 5925000.0, 6931000.0, 5611000.0, 4613000.0, 6213000.0, 5897000.0]",16
667bf792-fa8e-4e0c-af2d-bbd7fd9878a4,africa growth factory,Lincoln Community School,"Nov 29, 2021, 12:00:00 AM",5.609609985,-0.213908566,Ghana,248.66,667bf792-fa8e-4e0c-af2d-bbd7fd9878a4,71402b,667bf792-fa8e-4e0c-af2d-bbd7fd9878a4,"['2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']","[40686000.0, 34750000.0, 29832000.0, 24472000.0, 30184000.0, 28872000.0, 31114000.0, 32208000.0, 34572000.0, 43248000.0, 32334000.0, 41532000.0]",12
fd9d4a3b-33e5-438f-95db-87383a1e6d2d,africa growth factory,MTN Kaase,"Aug 12, 2023, 12:00:00 AM",6.6511461,-1.6101012,Ghana,710.75,fd9d4a3b-33e5-438f-95db-87383a1e6d2d,71402a,fd9d4a3b-33e5-438f-95db-87383a1e6d2d,"['2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03']","[32850960.0, 50680470.0, 54175080.0, 55356210.0, 46415890.0, 6616550.0, 29439500.0, 35323410.0, 44394250.0, 70404890.0, 21034090.0, 52602430.0, 70038690.0, 84816530.0]",14
0a9273ea-40f0-43b8-a386-9d3f7edda89f,africa growth factory,MTN Nhyiaeso,"Oct 25, 2024, 12:00:00 AM",6.6775541,-1.6189655,Ghana,167.9,0a9273ea-40f0-43b8-a386-9d3f7edda89f,71402a,0a9273ea-40f0-43b8-a386-9d3f7edda89f,"['2024-11', '2024-12', '2025-01', '2025-02', '2025-03']","[15309633.0, 13782920.0, 13729130.0, 13121820.0, 15439140.0]",5
8764829d-d871-446e-9262-d0a5929fa3a2,africa growth factory,MTN Sakaman,"Mar 11, 2024, 12:00:00 AM",5.576755079,-0.277177473,Ghana,670.45,8764829d-d871-446e-9262-d0a5929fa3a2,71402a,8764829d-d871-446e-9262-d0a5929fa3a2,"['2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']","[79380528.0, 75272000.0, 84484000.0, 83172000.0, 85914000.0, 88008000.0, 88372000.0, 105048000.0, 88143000.0, 101332000.0]",10
e21602ac-0705-47a3-839b-0635d2f159f0,africa growth factory,MTN South Legon,"Jan 2, 2024, 12:00:00 AM",5.6259383,-0.1814011,Ghana,560.8,e21602ac-0705-47a3-839b-0635d2f159f0,71402a,e21602ac-0705-47a3-839b-0635d2f159f0,"['2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']","[86497220.0, 77550000.0, 68632000.0, 59272000.0, 68484000.0, 66172000.0, 69914000.0, 73008000.0, 76372000.0, 94048000.0, 72134000.0, 90332000.0]",12
61d1b899-1fee-4b1e-b426-89c250830817,africa growth factory,Peduase,"Mar 7, 2023, 12:00:00 AM",5.8100021,-0.1801174,Ghana,45.82,61d1b899-1fee-4b1e-b426-89c250830817,71402b,61d1b899-1fee-4b1e-b426-89c250830817,"['2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12']","[5367000.0, 5190000.0, 4131000.0, 4370000.0, 4011000.0, 4881000.0, 4928000.0, 4887000.0, 5621000.0, 4948000.0, 5462000.0, 5392000.0]",12
8314080f-b478-48fb-bac7-a3fdc85359c6,africa growth factory,Premium Foods,"Aug 14, 2023, 12:00:00 AM",6.614385321,-1.46005386,Ghana,1980.0,8314080f-b478-48fb-bac7-a3fdc85359c6,71402a,8314080f-b478-48fb-bac7-a3fdc85359c6,"['2024-01', '2024-02', '2024-03', '2024-04', '2024-05', '2024-06', '2024-07', '2024-08', '2024-09', '2024-10', '2024-11', '2024-12', '2025-01', '2025-02', '2025-03', '2025-04']","[206800000.0, 220409000.0, 236300000.0, 225390000.0, 238259000.0, 193456000.0, 202900000.0, 197409000.0, 212199000.0, 210102000.0, 216111000.0, 206745000.0, 210423000.0, 211941000.0, 241670000.0, 218102000.0]",16
